measures,8,,,,,
beats,3,,,,,
divisions,2,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,1,,,,,
0,67,0,0,98,45,0,
0,65,0,0,98,41,0,
0,61,0,0,0,0,98,
0,69,0,0,98,98,0,
0,64,0,0,98,41,0,
0,71,0,0,0,41,0,
0,69,0,0,0,0,0,
0,69,0,0,0,98,0,
0,64,0,0,98,0,98,
0,64,0,0,0,43,0,
0,65,0,0,0,0,0,
0,65,0,0,98,98,0,
0,67,0,0,0,43,98,
0,57,0,0,98,43,98,
0,67,0,0,0,0,0,
0,65,0,0,0,98,98,
0,67,0,0,98,0,0,
0,61,0,0,0,45,98,
0,61,0,0,0,0,0,
0,71,0,0,98,98,0,
0,64,0,0,98,45,0,
0,69,0,0,0,45,0,
0,65,0,0,0,0,98,
0,65,0,0,98,98,0,
0,67,0,0,0,0,0,
0,57,0,0,0,0,0,
0,64,0,0,0,0,0,
0,65,0,0,0,0,0,
0,65,0,0,0,0,0,
0,57,0,0,0,0,0,
0,67,0,0,0,0,0,
0,50,0,0,0,0,0,
0,61,0,0,0,0,0,
0,61,0,0,0,0,0,
0,61,0,0,0,0,0,
0,62,0,0,0,0,0,
0,64,0,0,0,0,0,
0,67,0,0,0,0,0,
0,67,0,0,0,0,0,
0,65,0,0,0,0,0,
0,67,0,0,0,0,0,
0,65,0,0,0,0,0,
0,64,0,0,0,0,0,
0,65,0,0,0,0,0,
0,67,0,0,0,0,0,
0,67,0,0,0,0,0,
0,69,0,0,0,0,0,
0,62,0,0,0,0,0,measures,4,,,,,
beats,4,,,,,
divisions,4,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,1,,,,,
33,67,0,0,0,0,0,
33,0,64,0,98,98,98,
0,0,0,0,0,0,0,
0,0,0,59,0,0,0,
0,0,0,60,0,0,0,
0,0,0,0,98,98,98,
0,0,0,0,0,0,0,
31,0,62,0,0,0,0,
0,0,0,0,0,0,0,
33,0,64,0,98,98,98,
0,0,0,0,0,0,0,
0,0,0,59,0,0,0,
0,0,0,0,0,0,0,
0,0,0,60,98,98,98,
0,66,0,0,0,0,0,
31,67,62,0,0,0,0,
0,0,0,0,98,98,98,
33,0,64,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,59,0,0,0,
0,0,0,0,98,98,98,
0,0,0,60,98,98,98,
31,0,0,0,0,0,0,
31,0,62,0,0,0,0,
0,0,0,0,0,0,0,
33,0,64,0,98,98,98,
0,0,0,0,98,98,98,
0,0,0,59,0,0,0,
33,0,0,60,98,98,98,
0,0,0,0,0,0,0,
0,66,0,0,0,0,0,
35,66,62,0,0,0,0,
0,67,64,0,0,0,0,
33,67,64,0,98,98,98,
0,0,0,0,98,98,98,
0,0,0,59,0,0,0,
0,0,0,0,98,98,98,
0,0,0,60,98,98,98,
31,0,0,0,0,0,0,
31,0,62,0,0,0,0,
33,0,0,0,0,0,0,
33,0,64,0,98,98,98,
0,0,0,59,0,0,0,
0,0,0,0,0,0,0,
0,0,0,60,0,0,0,
0,0,0,0,98,98,98,
0,0,62,0,0,0,0,
31,66,62,0,0,0,0,
0,67,64,0,0,0,0,
33,0,64,0,98,98,98,
0,0,0,0,0,0,0,
0,0,0,59,0,0,0,
0,0,0,0,0,0,0,
0,0,0,60,98,98,98,
0,0,0,0,0,0,0,
31,0,62,0,0,0,0,
0,0,0,0,0,0,0,
33,0,64,0,98,98,98,
0,0,0,0,0,0,0,
0,0,0,59,0,0,0,
33,0,0,0,0,0,0,
0,0,0,60,98,98,98,
0,0,0,0,0,0,0,
35,66,62,0,0,0,0,
