measures,4,,,,,
beats,4,,,,,
divisions,4,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,1,,,,,
33,0,0,0,0,0,0,
33,0,0,0,98,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,98,98,
0,0,0,0,0,0,98,
31,0,0,0,98,0,98,
0,0,0,0,0,0,98,
33,0,0,0,98,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,98,0,
0,0,0,0,0,0,0,
31,0,0,0,98,0,98,
0,0,0,0,0,0,98,
33,0,0,0,98,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,98,98,
31,0,0,0,0,0,0,
31,0,0,0,98,0,0,
0,0,0,0,0,0,98,
33,0,0,0,98,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
33,0,0,0,98,0,98,
0,0,0,0,0,98,98,
0,0,0,0,0,0,98,
35,0,0,0,98,0,98,
0,0,0,0,0,0,98,
33,0,0,0,98,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,98,98,
31,0,0,0,0,0,0,
31,0,0,0,98,0,98,
33,0,0,0,0,0,98,
33,0,0,0,98,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,98,98,
0,0,0,0,0,0,0,
31,0,0,0,98,0,0,
0,0,0,0,0,0,0,
33,0,0,0,98,0,98,
0,0,0,0,0,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,0,98,
0,0,0,0,0,98,98,
0,0,0,0,0,0,98,
31,0,0,0,98,0,98,
0,0,0,0,0,0,98,
33,0,0,0,98,0,98,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
33,0,0,0,98,0,0,
0,0,0,0,0,98,98,
0,0,0,0,0,0,98,
35,0,0,0,98,0,98,
